PID,x,y
0,38.14712,-18.406778
1,8.906232,-8.142352
2,69.77375,3.1090293
3,70.1438,9.187448
4,70.94132,13.820312
5,22.883108,-6.6488523
6,71.93085,9.20452
7,-0.4237396,-16.142591
8,70.91952,14.250496
9,19.941177,-29.30348
10,15.85546,12.963847
11,-12.705856,-8.146638
12,70.563194,13.260779
13,25.844929,-30.429268
14,26.2668,-11.206637
15,26.720001,-3.6834645
16,70.9463,12.174055
17,71.22249,12.310304
18,6.961388,-4.06516
19,70.507706,13.927237
20,78.05661,3.22232
21,22.533747,-3.2969747
22,43.19872,12.642249
23,70.77624,14.21662
24,0.19062518,-16.132051
25,72.87153,-2.8041503
26,-39.715893,-0.8721713
27,10.878171,9.826922
28,-3.421655,-3.978852
29,11.188673,9.830486
30,8.978958,18.256027
31,71.062035,14.184029
32,9.269076,-7.4188967
33,70.52205,13.636156
34,71.385704,13.865333
35,70.601265,12.490861
36,12.893113,28.863678
37,27.284084,-7.9102116
38,72.34555,10.862508
39,19.650282,-5.7031803
40,4.320695,-22.185438
41,-17.143663,2.6267953
42,4.3482685,-4.277573
43,19.835508,-5.9031434
44,74.525444,5.850878
45,74.866684,3.530105
46,16.062418,-7.5999513
47,6.3778877,-17.074562
48,38.1076,-16.836735
49,8.6250925,26.0184
50,3.9801016,-21.345713
51,6.830403,-5.3563275
52,26.712791,-29.44943
53,31.131021,-15.504463
54,-13.470321,3.423549
55,30.558733,-14.175775
56,-12.180693,-14.386872
57,3.2594788,-23.434183
58,8.591781,-3.407339
59,-4.250785,-14.582169
60,32.096256,-15.627602
61,2.2255385,12.067804
62,70.5567,14.048123
63,29.552456,-12.604102
64,20.067202,-6.0741577
65,70.970955,12.98801
66,70.65916,13.87045
67,5.395087,14.014833
68,32.839714,-15.864303
69,27.237432,-3.1400537
70,27.33306,6.0994663
71,10.009297,-7.739613
72,1.0306257,14.985244
73,25.185682,-4.801264
74,59.02001,-10.66101
75,25.596706,-29.992477
76,55.064137,-17.29563
77,11.644397,34.264767
78,-46.339653,3.4355772
79,71.2102,13.559783
80,71.50731,8.383903
81,50.481426,18.128227
82,71.609146,9.38642
83,14.543832,-26.744007
84,1.0595889,11.060796
85,70.65469,10.871712
86,70.537834,13.4380665
87,74.157455,-6.4981093
88,0.15916286,-1.2513334
89,-1.2179224,26.87766
90,3.0301824,12.668155
91,50.30351,15.041505
92,-33.528038,0.6468744
93,20.999422,35.371475
94,-3.3620918,9.439912
