PID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,-17.324266,-19.244215,-16.80274,-17.420279,-16.826035,-16.653997,-16.366613,-16.476473,-13.796805,-13.560056,-13.589593,-17.37129,-15.96054,-17.992958,-18.526909,-20.91196,-17.38789,-18.18109,-16.16688,-15.135546,-15.171241,-15.90815,-12.362803,-12.934738,-16.768505,-16.368496,-14.943104,-16.489033,-20.316845,-19.268713,-19.822842,-19.114653,-17.057268,-15.908122,-15.076065,-13.368799
1,-15.035294,-14.860117,-15.815449,-16.603176,-16.752165,-17.765419,-17.212917,-16.583794,-15.695972,-15.536926,-14.027871,-14.763045,-13.886794,-14.179882,-15.339347,-15.529421,-15.0298,-14.88433,-14.453273,-13.289304,-13.376284,-13.4261465,-13.662467,-13.163119,-14.306336,-13.613686,-14.007072,-14.149404,-18.013369,-16.274002,-16.764534,-15.639773,-15.824884,-15.734044,-15.560568,-15.580707
2,-20.458042,-18.26117,-18.219816,-15.858197,-15.202218,-15.755741,-16.716034,-15.963664,-14.345552,-15.345038,-14.436345,-13.873537,-13.746967,-12.619947,-14.212419,-19.393984,-18.883821,-14.390457,-13.643457,-12.09661,-20.231464,-20.797028,-21.04397,-21.340734,-23.23848,-21.550882,-22.926842,-23.19063,-24.445747,-24.53881,-25.4739,-22.768974,-23.835432,-23.973234,-23.76878,-23.16642
3,-22.512596,-19.31901,-19.02309,-18.863283,-16.264975,-16.452717,-16.789082,-15.583901,-13.826166,-14.706088,-12.691842,-14.1603,-14.302091,-15.846223,-19.412073,-20.772339,-19.634792,-18.199024,-16.890457,-16.104746,-19.643456,-18.869839,-19.711205,-20.814754,-21.025448,-19.53449,-20.636652,-22.141869,-23.788227,-22.81622,-23.001795,-21.587204,-22.821102,-23.038467,-23.685162,-22.659008
4,-22.99786,-20.59483,-19.987175,-20.771318,-19.273571,-17.293545,-17.007774,-15.387201,-15.913181,-15.810631,-14.677763,-13.841955,-15.654649,-19.28309,-20.159184,-21.861313,-22.004087,-21.232628,-21.083477,-19.896656,-22.678055,-22.457687,-21.84615,-22.95423,-23.777912,-22.293673,-23.377632,-23.21124,-23.68365,-23.325123,-23.205181,-22.103504,-23.555048,-23.126678,-23.301079,-23.233715
5,-14.707574,-14.408293,-13.827939,-14.583378,-13.980156,-16.305965,-17.999365,-19.000881,-15.871708,-17.35628,-15.806737,-17.57754,-18.833042,-17.772297,-18.101494,-20.408382,-16.591354,-15.984148,-15.404214,-15.780053,-16.772171,-15.111527,-15.009054,-15.427105,-16.905249,-18.139702,-17.908676,-18.526611,-19.451769,-18.291012,-16.464594,-16.257364,-15.94275,-15.001822,-14.958691,-14.482813
6,-23.262535,-20.019175,-19.970356,-17.812162,-16.907406,-17.787897,-18.04729,-16.490501,-14.544876,-15.169144,-12.918377,-14.223772,-13.544079,-16.196266,-19.201569,-20.447054,-19.446037,-17.832432,-15.982317,-15.039185,-20.411455,-19.831966,-19.72539,-21.406961,-22.655529,-20.775948,-22.708372,-22.504477,-24.028454,-22.822102,-24.041039,-22.292091,-23.351059,-23.444218,-24.332663,-23.338917
7,-15.232764,-14.825768,-14.976013,-15.01438,-14.871197,-15.043172,-15.418741,-15.294566,-13.221273,-14.286351,-14.442786,-14.381273,-12.670003,-13.140753,-13.499687,-13.809289,-14.346303,-14.564064,-14.070461,-12.746114,-12.90985,-13.884459,-14.086318,-12.930602,-14.259258,-14.955319,-14.294118,-14.99128,-16.136415,-15.373555,-16.274195,-16.584074,-16.18192,-16.334423,-15.538993,-15.370091
8,-22.841034,-20.282356,-20.891415,-20.954948,-18.60793,-17.149342,-17.359045,-16.351503,-16.036747,-15.121157,-14.656661,-15.0144615,-16.364079,-19.601912,-21.151184,-21.652802,-22.52008,-21.42199,-21.863964,-20.57113,-22.467922,-22.696362,-21.422176,-22.615263,-23.418678,-22.008522,-23.273556,-23.016045,-23.511738,-23.284191,-23.419247,-22.040176,-22.985573,-22.7734,-23.335587,-23.17134
9,-15.623238,-15.862375,-15.364157,-14.637154,-14.902496,-16.948032,-16.290745,-16.661755,-14.342072,-14.048901,-15.726526,-14.854631,-13.454654,-13.659662,-14.030603,-13.878968,-16.913033,-15.847157,-15.271589,-14.386701,-13.9783745,-14.206139,-14.449759,-12.629848,-12.3138485,-12.33455,-14.405262,-12.871979,-24.17724,-19.916317,-20.660572,-19.990292,-19.738438,-19.732914,-17.273369,-16.559076
10,-13.147602,-13.877793,-13.97428,-14.034763,-14.63693,-14.724617,-15.814048,-16.627182,-14.099104,-14.506075,-14.361449,-15.5998,-13.43294,-14.526056,-16.828989,-15.423319,-18.10394,-16.186838,-16.245853,-15.579946,-16.489195,-16.486732,-15.358613,-15.320797,-15.060677,-14.860918,-15.118903,-15.582194,-16.405842,-15.002285,-14.67517,-13.939108,-13.080377,-13.476678,-13.683872,-13.490057
11,-14.398487,-14.201893,-14.027486,-14.129141,-13.810315,-14.648277,-14.842553,-14.6185055,-12.865705,-13.942155,-14.373975,-14.598241,-12.828709,-13.332337,-13.300046,-13.611277,-14.047551,-14.067177,-13.832697,-12.622196,-12.559499,-13.150726,-13.950029,-12.765712,-13.511625,-13.793569,-13.483853,-14.353999,-14.903212,-14.286978,-13.744047,-13.319426,-13.882527,-14.5681305,-14.619327,-15.085893
12,-23.112904,-19.10759,-20.023903,-19.577084,-17.53852,-18.761343,-17.819157,-15.268183,-15.977535,-15.729604,-14.415714,-13.453594,-14.292342,-17.85847,-19.923315,-21.785538,-21.14719,-21.098866,-21.32996,-19.457333,-22.41595,-22.63587,-22.245953,-23.071877,-23.851025,-21.42241,-23.15644,-23.12244,-23.13519,-23.541506,-23.600449,-22.04309,-23.304863,-22.983614,-23.023643,-22.962399
13,-14.351778,-14.881987,-14.159857,-13.925976,-13.873873,-14.458391,-15.448919,-15.538159,-13.778599,-16.11439,-16.216919,-16.141666,-13.095531,-13.994608,-13.76031,-13.887662,-14.644351,-15.499436,-14.650673,-13.64753,-13.706781,-16.005295,-17.002678,-13.618784,-14.710565,-15.940723,-16.620464,-19.63187,-23.916328,-23.600872,-21.049004,-21.310724,-20.502071,-18.500652,-16.889935,-15.747902
14,-14.964695,-15.276531,-15.230381,-15.630457,-17.958578,-16.814629,-17.603338,-17.405405,-15.32055,-14.856245,-15.287878,-16.782183,-18.277243,-18.134052,-18.425772,-17.186626,-18.144535,-16.235224,-15.649431,-15.130922,-14.484812,-14.814991,-15.892214,-13.995796,-16.49641,-16.274883,-16.637377,-15.597723,-23.199703,-21.961746,-15.232577,-15.194117,-17.316042,-17.519962,-16.674145,-17.587404
15,-17.573132,-18.399605,-18.31448,-17.597544,-18.225582,-17.24748,-16.95208,-17.604977,-14.562602,-14.384481,-15.224173,-17.443996,-17.366713,-19.628082,-15.963817,-17.454838,-19.348042,-19.635803,-17.372446,-16.80506,-15.554007,-17.12286,-16.680391,-15.446571,-16.814772,-17.254885,-14.415082,-16.061878,-19.310242,-16.638039,-15.6011,-15.309028,-14.153725,-13.867001,-13.349906,-13.143607
16,-22.461512,-20.173962,-20.1917,-19.075829,-17.991297,-17.181099,-17.308176,-15.931122,-14.477718,-15.812853,-14.051715,-15.125694,-14.04826,-16.77201,-18.897497,-21.7161,-22.189692,-19.70668,-18.425835,-16.634287,-22.526628,-22.823376,-22.08088,-22.874195,-23.270355,-22.008347,-23.226772,-23.198624,-23.468008,-22.884275,-23.469475,-22.008766,-22.912542,-22.790945,-22.941854,-22.944324
17,-22.521008,-20.196703,-19.804634,-18.322212,-17.38138,-17.51177,-16.045694,-15.69503,-14.3378105,-15.005539,-14.183443,-14.159042,-14.937357,-18.250109,-20.035477,-20.441084,-20.186708,-19.562325,-19.324419,-18.403543,-21.265879,-21.671162,-21.045303,-22.456314,-23.49496,-21.983116,-23.142479,-23.256943,-24.060707,-23.272474,-23.42715,-22.274052,-23.031424,-23.10251,-23.31754,-23.010618
18,-15.391182,-16.294722,-14.9967,-15.30739,-14.747247,-15.431632,-15.313624,-15.615077,-14.759421,-14.917498,-14.956417,-15.423154,-14.161287,-14.913784,-15.225838,-14.78754,-15.545347,-16.055008,-14.299828,-13.5644865,-14.544672,-14.841566,-15.732626,-14.305588,-15.253803,-15.299,-15.404395,-14.965526,-15.361276,-14.816781,-15.062538,-15.111229,-14.303046,-14.712715,-16.081272,-15.04272
19,-22.526989,-20.713722,-20.925255,-20.072138,-18.404297,-18.995354,-17.603418,-16.126793,-16.735199,-16.031652,-14.981918,-13.785897,-15.209297,-19.491158,-20.99601,-21.612347,-21.939812,-21.053295,-21.30731,-20.124565,-22.222448,-22.47292,-21.659489,-22.779915,-23.503159,-22.197098,-23.45668,-23.327234,-23.864258,-23.284195,-23.658443,-22.29856,-23.257729,-23.085957,-23.323013,-23.31942
