Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Class 01,-18.16750465435606,-17.665087811553033,-15.940798456439394,-15.880875894886366,-15.87907090719697,-15.306742454545455,-15.043400007575757,-15.021234475378789,-13.479560538825758,-14.79443252935606,-18.351760313446967,-18.897838142045455,-17.597282142992423,-16.935215826704546,-15.417663393939394,-15.565093858901516,-15.34641290246212,-15.23001606723485,-15.053792387310606,-14.588070262310605,-14.12689934375,-15.469414473484848,-18.787967882575757,-19.955463918560607,-17.39959815151515,-17.475474550189396,-15.384817118371213,-15.568049940340908,-15.429076679924242,-14.68604943939394,-14.686012672348484,-14.535746160984848,-14.61270649526515,-16.679690018939393,-19.135609819128785,-19.28064174905303
Class 02,-16.51067735858586,-16.281925248737373,-15.580901018939395,-14.882354289141414,-14.778631453282829,-15.028120013888888,-14.694705179292928,-14.672646559343436,-13.456011691919192,-13.684338570707071,-14.239564396464646,-15.174283693181819,-16.21546959469697,-16.163798888888888,-15.474493352272727,-14.652293071969696,-14.467494982323231,-14.502277238636363,-14.741021448232324,-14.135876152777778,-13.800726069444446,-13.812238060606061,-14.591243491161615,-15.095025237373736,-16.335715275252525,-15.979685438131314,-15.379921958333334,-15.049956166666666,-14.579824098484849,-14.098237873737373,-14.053123566919192,-14.19139982070707,-13.747707839646464,-13.786075055555555,-14.353850087121211,-15.505581921717171
Class 03,-21.335976416886545,-19.58300963060686,-19.051799374670185,-17.8493615883905,-16.55227089313984,-17.03103830211082,-16.122376362796835,-15.570750692612137,-13.664240643799474,-14.274189,-14.295563395778364,-15.004089635883904,-16.008940394459103,-16.248599730870712,-16.84615973878628,-17.707022006596308,-17.59172462005277,-15.447232559366755,-14.999207547493405,-14.2316815,-19.142091254617412,-20.081808257255936,-21.409876224274406,-22.052234846965696,-23.563485563324537,-21.72649286015831,-22.618270807387862,-23.020332350923482,-23.7680026939314,-23.545324612137204,-24.70503754353562,-22.63417770712401,-23.484017686015832,-23.431120150395778,-23.460850625329815,-22.484857176781002
Class 04,-16.576541381987578,-15.967179389751552,-16.240383628881986,-16.500965131987577,-16.088276164596273,-15.512503905279502,-14.62677423447205,-14.707565059006212,-13.04080467546584,-12.634924263975154,-13.975853771739128,-15.406453874223601,-19.493578164596272,-18.27008839440994,-19.528354521739132,-17.602987930124222,-16.204320711180124,-15.60108140062112,-16.080894855590063,-15.146030135093167,-15.130068521739132,-14.767341972049689,-14.747264346273292,-13.54177006832298,-13.944759274844719,-14.333055069875776,-14.557236169254658,-20.039801722049692,-21.81195627484472,-22.96871441614907,-24.321719189440994,-21.66282337888199,-21.629273729813665,-21.112742835403726,-20.934145540372672,-18.94044377173913
Class 05,-16.67269879950495,-16.322943235148514,-16.24928955940594,-16.282242294554454,-15.58905391089109,-15.222954133663366,-14.95515355569307,-14.77174867079208,-13.294077566831684,-15.855034831683168,-19.34816913118812,-18.890301683168317,-16.564377658415843,-16.28554936138614,-15.577137586633665,-15.72731478960396,-14.975543888613862,-14.81979286881188,-14.94217831930693,-14.392152913366337,-13.44685123019802,-13.798292279702972,-18.547237292079206,-18.810520314356435,-20.5934601980198,-21.265473742574258,-21.870891757425746,-23.16577025742574,-23.392768836633664,-23.248109351485148,-23.616187108910893,-22.9067220990099,-22.73927238118812,-21.88896043564356,-20.91830855940594,-19.08752973019802
Class 06,-15.586041797585228,-15.587356284090909,-16.014099219460228,-15.786576012073864,-15.886769283380682,-16.052053426136364,-16.191706892045456,-16.149833295454545,-14.618625936079546,-15.366344133522727,-15.867088178977271,-15.742124026278407,-16.56517682244318,-17.03823075284091,-16.98096165980114,-16.764226234375,-15.789747561789772,-15.453391683948864,-15.227891633522727,-14.621080282670455,-14.5797859140625,-14.453842302556819,-15.273030024857956,-14.558250641335228,-15.462745259943182,-15.719804140625001,-16.566216227272726,-18.69679434161932,-20.079534860795455,-19.75945266903409,-19.12301471377841,-18.766993668323863,-18.248597482244318,-17.769088433948863,-16.8986673359375,-15.976738557528408
Class 07,-17.639956075,-17.009980227272727,-17.085284211363636,-16.132797811363638,-15.290108927272728,-14.61830985909091,-14.522032540909091,-14.536263645454545,-13.523123313636363,-14.642124172727273,-15.332448672727272,-16.443106450000002,-14.133092756818183,-15.36208265,-16.747224868181817,-17.392685818181818,-17.08306666590909,-16.49352400681818,-16.140424272727273,-15.517733095454545,-15.103705327272728,-15.260032397727272,-14.997459552272728,-15.10251055,-15.578842486363635,-16.053746574999998,-16.918069568181817,-17.333254404545457,-17.13656442272727,-15.914065204545455,-15.216407227272727,-14.221401327272726,-14.046714434090909,-14.689936522727272,-15.569826304545455,-17.277527113636364
Class 08,-14.29058961662531,-14.22508052605459,-14.76008101426799,-14.86626130210918,-15.091543983870967,-15.173212805831266,-15.651072506203475,-15.800696697270471,-14.123696975806451,-14.792168161290322,-14.533628315136477,-14.435773318238214,-14.271204236352359,-15.178092358560793,-15.631602002481388,-14.862806622828783,-14.731336373449132,-15.114870912531018,-15.35796061662531,-15.24107308995037,-16.05824156141439,-15.767926672456577,-15.512905692307692,-15.026447129032258,-15.122151122828782,-14.634430495657567,-15.185802964019851,-15.303592026054591,-15.290011165012407,-14.598949460918114,-14.080586460918113,-13.607433328163772,-13.84654195967742,-14.305364676178659,-14.16214715694789,-14.49452301240695
Class 09,-15.693452962908012,-15.671976120178043,-14.655768523738873,-14.793516399109793,-15.130672293768544,-16.80006521958457,-18.85496069139466,-19.06120350296736,-16.58035292433234,-15.865496474777448,-15.341896002967358,-15.410169979228487,-14.583908204747775,-15.161872218100891,-14.628510571216617,-15.098427728486646,-18.257097430267063,-16.570325602373885,-15.19081565281899,-15.227949235905045,-15.11536356231454,-15.131756912462906,-15.359565176557863,-14.123217181008902,-14.248598137982196,-14.607751166172108,-14.84841561869436,-19.933237992581603,-21.123423499999998,-21.101363329376856,-20.57000564985163,-20.815896047477747,-19.52974272700297,-18.014589173590505,-16.211371700296734,-15.399639538575668
Class 10,-14.778525441527446,-14.77268708830549,-14.445595708830549,-14.268504445107398,-14.109315760143197,-14.359219220763723,-14.506606315632459,-14.53936519331742,-13.361242251789976,-13.873269266109784,-13.93182680906921,-14.086766164677805,-13.963874002386635,-14.276523318615752,-13.973419255369928,-13.799680045346062,-13.912164409307877,-14.022608071599045,-14.100645871121719,-13.572108035799523,-13.519042702863963,-13.664941880668257,-14.304389196897375,-13.493970001193318,-14.306019397374703,-14.33847217064439,-14.195706761336515,-15.191479849642004,-16.32517033770883,-16.08035613484487,-16.188679346062052,-16.295487644391407,-15.312929825775658,-15.212536431980908,-14.94804669451074,-14.79193101431981
